"Company.Name","YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
"Andhra Pradesh Scooters Ltd.",1974,38.75,-5.2,2.26,26.09,184.8,1.41,16.98,0.6,4.78,0.0648247158636145
"Andhra Pradesh Scooters Ltd.",1974,30.08,9.69,5.05,16.88,39.4,0.43,8.89,0.61,3.84,0.234268262887857
"Andhra Pradesh Scooters Ltd.",1974,-6884.44,-97.67,5.4,0,1134.8,1.16,4.45,22.25,5.61,0.230904694654855
"Andhra Pradesh Scooters Ltd.",1974,49.95,12.67,3.96,28.66,8.5,1.76,16.06,0.22,7,0.105400192864031
"Andhra Pradesh Scooters Ltd.",1974,32.54,16.18,0.98,25.55,4.1,0.76,5.28,0.81,5.65,0.110975182277061
"Andhra Pradesh Scooters Ltd.",1974,15.82,11.42,0.37,8.54,541.2,0.4,11.18,1.04,9.73,0.651653003489789
"Andhra Pradesh Scooters Ltd.",1974,12.93,-0.4,-1.55,30.47,278.5,0.68,37.04,5.71,30.83,70.6251009421265
"Apollo Tyres Ltd.",1972,14.23,7.68,3,18.41,742.3,0.92,14.93,1.36,7.61,0.343339819892231
"Apollo Tyres Ltd.",1972,19.87,13.34,5.13,11.49,878.1,0.87,9.18,1.64,4.56,0.472790920047646
"Apollo Tyres Ltd.",1972,7.54,5.21,2.13,20.98,980.1,0.79,9.41,0.68,3.38,0.2009215953269
"Apollo Tyres Ltd.",1972,26.33,16.51,7.41,9.11,1227.8,0.79,8.83,2.07,5.4,0.657369277291152
"Apollo Tyres Ltd.",1972,9.79,5.32,2.92,12.71,1473.5,0.84,19.8,1.85,8.99,0.58168537312244
"Apollo Tyres Ltd.",1972,8.91,4.39,1.96,13.9,1856.9,0.84,25.97,2,9.84,0.447592619949325
"Apollo Tyres Ltd.",1972,13.93,7.07,3.2,8.06,2189.9,0.87,14.47,1.85,8.97,0.443144053520111
"Apollo Tyres Ltd.",1972,20.31,11.85,5.26,8.54,2445.2,1.12,15.58,2.95,8.09,0.826413884460163
"Apollo Tyres Ltd.",1972,21.51,14.97,6.46,15.84,2467.8,1.43,13.26,2.62,6.9,0.859320658090526
"Apollo Tyres Ltd.",1972,25.34,20.47,10.08,10.16,2651.4,1.36,8.87,1.91,5.09,0.919739336395024
"Ashok Leyland Ltd.",1948,22.04,15.6,4.13,54.63,1491.7,0.96,12.72,3.05,7.83,0.597876773710848
"Ashok Leyland Ltd.",1948,23.77,17.14,5.06,42.57,1733.6,1,10,2.21,5.15,0.510874245425776
"Ashok Leyland Ltd.",1948,8.91,5.31,2.71,69.92,1811.7,1.04,12.85,1.14,7.41,0.352706329024925
"Ashok Leyland Ltd.",1948,19.31,9.94,5.23,47.1,1985.4,1.14,17.41,3.2,10.68,0.920486883265711
"Ashok Leyland Ltd.",1948,25.46,12.99,5.09,42.15,2700.1,1.15,11.96,2.85,7.8,0.610809277660057
"Ashok Leyland Ltd.",1948,20.37,10.07,3.92,47.01,3526.7,1.15,13.28,2.72,8.2,0.567879485024735
"Ashok Leyland Ltd.",1948,14.27,6.38,3,36.81,3819.4,1.15,10.81,1.84,5.97,0.418711885161866
