Company.Name,YEAR,DIV,NPM,ROE,ROC,DEP,Beta
Syndicate Bank,1925,16.04,-7.64,-16.8,-5.25,1992.8,2.02
Times Bank Ltd. [Merged],1994,21.41,14.59,28.63,8.9,6716.1,0.45
Times Bank Ltd. [Merged],1994,9.92,7.48,15,3.89,229.9,0.9
Times Bank Ltd. [Merged],1994,12.55,9.52,17.48,3.89,592.7,1.33
Times Bank Ltd. [Merged],1994,14.5,5.67,10.6,4.87,805.5,0.97
Times Bank Ltd. [Merged],1994,19.64,11.69,23.88,6.38,1027.6,1.08
Times Bank Ltd. [Merged],1994,0,12.57,16.25,4.99,508.5,1.19
Times Bank Ltd. [Merged],1994,12.23,10.39,24.85,5.87,301,1.23
Times Bank Ltd. [Merged],1994,19.45,6,16.57,4.81,797.9,1.2
Times Bank Ltd. [Merged],1994,0,7.03,6.73,1.16,1050,1.59
Times Bank Ltd. [Merged],1994,17.88,12.3,19.51,4.98,31.6,0.94
Uco Bank,1943,25.29,4.45,12.45,4.17,605.6,1.25
Uco Bank,1943,19.4,4.32,13.5,4.37,698.7,1.2
Uco Bank,1943,10.8,6,21.08,7.05,836.1,1.14
Uco Bank,1943,12.55,9.63,31.56,10.29,741.9,1.08
Uco Bank,1943,32.05,7.36,22.3,7.93,805.5,1.11
Uco Bank,1943,30.86,7.09,21.46,6.85,781.2,1.11
Uco Bank,1943,46.74,3.46,9.64,3.18,871.5,1.22
Uco Bank,1943,16.68,7.61,17.16,5.95,1096.3,1.52
Uco Bank,1943,18.91,5.17,9.89,4.02,1355,1.97
Uco Bank,1943,26.37,-16.37,-29.9,-12.88,1365.8,2.1
Union Bank Of India,1919,20.91,9.83,19.17,7.2,863.7,1.45
Union Bank Of India,1919,14.57,12.61,25.65,9.92,1018.2,1.35
Union Bank Of India,1919,14.63,12.12,25.62,10.84,1365.8,1.23
Union Bank Of India,1919,13.39,12.43,24.14,11.31,1601.4,1.02
Union Bank Of India,1919,20.15,10.73,19.96,9.33,1556.6,1.02
Union Bank Of India,1919,24.63,7.62,14.86,6.44,1464.5,1.02
Union Bank Of India,1919,22.12,7.67,14.8,6.01,1509.2,1.04
Union Bank Of India,1919,14.86,5.26,10.39,3.94,1937.8,1.18
Union Bank Of India,1919,21.41,5,10.11,3.56,2208.1,1.78
Union Bank Of India,1919,9.92,1.17,2.18,0.8,2441.1,2.01
United Bank Of India,1950,17.2,7.38,12.99,8.45,279.4,0.94
United Bank Of India,1950,14.41,1.4,2.76,1.48,492.3,1.43
United Bank Of India,1950,0,2.63,5.57,2.74,639.8,1.8
United Bank Of India,1950,19.63,4.84,10.83,5.44,985.5,1.2
United Bank Of India,1950,14.46,7.31,15.78,6.95,1003.3,0.84
United Bank Of India,1950,13.7,6.93,15.65,6.47,697,1.3
United Bank Of India,1950,20.08,1.85,4.43,1.9,608.2,1.54
United Bank Of India,1950,20.56,-13.61,-38.6,-16.63,691.9,1.73
United Bank Of India,1950,0,1.69,4.45,2.2,1057.2,1.87
United Bank Of India,1950,17.76,-10.44,-22.41,-13.53,1027.6,1.83
United Western Bank Ltd. [Merged],1936,17.24,6.12,18.73,9.96,246.8,0.9
United Western Bank Ltd. [Merged],1936,20.78,-7.62,-14.89,-11.16,508.5,0.9
United Western Bank Ltd. [Merged],1936,20.08,10.29,17.06,10.45,1365.8,0.9
United Western Bank Ltd. [Merged],1936,20.19,8.46,25.7,9.14,1130.2,0.9
United Western Bank Ltd. [Merged],1936,9.53,14.82,19.89,10.73,2228.2,0.9
United Western Bank Ltd. [Merged],1936,15.25,12.08,19,10.91,74.5,0.9
United Western Bank Ltd. [Merged],1936,32.59,6.66,19.14,9.97,469.4,0.9
United Western Bank Ltd. [Merged],1936,19.89,8.06,13.88,4.99,1199.7,0.9
United Western Bank Ltd. [Merged],1936,22.52,15.78,27.73,10.39,2854.2,0.9
United Western Bank Ltd. [Merged],1936,38.79,10.97,22.81,6.37,348.4,0.9
Vijaya Bank,1980,30.23,7.85,14.3,8.86,401.3,0.84
Vijaya Bank,1980,28.08,7.92,17.68,8.07,307.9,1.17
Vijaya Bank,1980,19.32,3.49,9.39,3.86,369.8,1.08
Vijaya Bank,1980,25,8.36,20.37,9.96,489.2,1.14
Vijaya Bank,1980,26.22,8.14,18.88,9.31,461.6,1.15
Vijaya Bank,1980,24.78,5.95,16.19,6.3,399.6,1.15
Vijaya Bank,1980,24.75,5.94,15.92,5.39,414.6,1.21
Vijaya Bank,1980,39.76,3.12,7.63,3.3,641.5,1.6
Vijaya Bank,1980,35.3,3.32,7.69,3.75,545.3,1.58
Vijaya Bank,1980,0,1.09,2.23,0.93,714.9,1.52
Yes Bank Ltd.,2003,0,11.97,13.88,5.77,110.7,1.41
Yes Bank Ltd.,2003,0,11.95,18.97,7.74,192.3,1.35
Yes Bank Ltd.,2003,0,12.29,20.53,7.23,301,1.44
Yes Bank Ltd.,2003,10.66,16.07,20.08,7.19,302.6,1.42
Yes Bank Ltd.,2003,11.94,15.42,21.14,7.94,348.4,1.46
Yes Bank Ltd.,2003,14.45,13.65,23.1,6.67,408.2,1.46
Yes Bank Ltd.,2003,16.6,13.53,24.76,5.7,517.1,1.55
Yes Bank Ltd.,2003,17.88,13.82,25.03,5.87,631.7,1.63
Yes Bank Ltd.,2003,18.76,14.59,21.33,6.05,850.4,1.84
Yes Bank Ltd.,2003,16.57,15.6,19.92,6.09,1105.5,1.71
