"YEAR","ROE","ROC","NPM","DIV","DEP","Beta","P.E","P.B","EVEBITDA","PSALES"
1972,16.47,7.14017216642755,1.15,13.2257101865136,2.6,1.82,34.82,1.42,5.22,0.00958027640334414
1972,4.18,14.45,1.73,13.2257101865136,4982.3,1.22,2.89,0.62,4.73,0.0721627711665063
1989,9.36,7.5,4.2,13.2257101865136,1.3,1.32,6.34,0.65,4.45,258.218351477449
1989,3.04,2.68,1.16,13.2257101865136,1.8,1.06,34.82,0.6,16.58,1.90245478036176
1989,12.16,11.94,3.61,13.2257101865136,1.9,0.88,4.6,0.59,9.83,0.592778335005015
1989,7.66,7.61,2.39,13.2257101865136,1.9,0.77,1.81,0.57,7.31,3.7631931166348
1989,5.73,5.22,1.68,13.2257101865136,2,1.13,27.79,1.06,14.82,0.395699831365936
1989,18.15,12.59,3.87781922525108,13.2257101865136,3.3,0.68,4.93,0.79,12.59,0.561179342011412
2008,17.49,2.57,1.66,13.2257101865136,22.9,1.64,5.47,0.63,5.67,0.0176938369781312
2008,7.58,0.15,40,13.2257101865136,18.8,1.04,34.23,9.36,10.4375753228121,352.28
2008,33.33,33.33,25,13.2257101865136,1.9,0.75,10.74,0.6,5.05,18388.85
2008,28.57,14.29,14.29,13.2257101865136,10,1.07,4.6,0.57,3.97,261.1
2008,78.05,26.39,3.32,13.2257101865136,0.6,1.02,276.8,2.03,5.05,3.7207488299532
2008,33.33,17.46,2.94,13.2257101865136,0.6,0.93,10.74,0.18,4.95,0.147039777983349
2008,14.55,9.21,1.77,13.2257101865136,1.7,1.09,14.88,1.5,8.21,0.265959031657356
2008,13.54,8.49,2.56,13.2257101865136,1.8,1.18,17.03,1.37,7.91,0.274084507042254
1981,17.48,6.62,2.54,3.41,38.5,1.14,2.37,1.83,3.24,0.00267782426778243
1981,9.47,3,1.65,2.69,97.4,1.22,7.45,0.39,6.84,0.023354355538037
1981,9.65,3.07,1.76,2.59,86.3,0.87,389.88,2.09,4.22,0.0855819137080083
1981,16.6,5.94,3.24,2.53,71.6,1.19,9.19,0.92,6.06,0.025671937947207
1981,22.23,8.52,3.84,4.5,75.1,0.33,10.74,0.78,7.09,0.122439683542924
1981,16.56,7.37,2.97,13.2257101865136,92.5,1.59,7.47,0.5,9.43,0.00612703859801096
1981,13.82,6.84,3.09,13.2257101865136,92.8,1.09,2.6,1.9,10.4375753228121,0.0489409178165351
1981,11.75,5.84,3.12,13.2257101865136,125.6,0.55,9.06,1.42,11.48,0.0312345254470426
1981,9.1,4.52,2.8,12.24,164.6,0.68,8.6,0.75,4.88,0.241289299105855
1981,10.36,5.42,3.44,9.89,159.2,0.68,8,0.74,5.02,0.255134845508126
1985,19.61,2.55,5.89,21.56,7739.5,1.5,2.89,0.64,4.3,0.0591185769829186
1985,7.14,100.11,3.86,12.07,2.1,0.76,6.71,24.47,6.08,0.762049722451872
1985,33.33,19.57,0.29,13.2257101865136,2.5,0.52,389.88,0.08,2.57,0.0838139074077896
1985,28.34,3.77,1.39,6.26,122.3,0.87,6.07,0.71,11.67,0.291782002261834
1985,13.42,4.31,0.49,109.16,1.2,0.73,3.37,0.12,6.33,0.0162665066026411
1985,26.2,5.22,3.81,30.6,582.3,1.71,15.27,0.2,10.4375753228121,0.295956923973256
1960,31.6,8.1,3.25,13.2257101865136,61.8,1.31,10.74,0.39,6.53,0.0110843912532856
1960,28.21,8.64,3.99,13.2257101865136,87.4,1.21,3.08,1.15,7,0.178213923522043
1960,16.88,5.27,2.1,13.2257101865136,128.9,1.09,6.83,0.36,3.66,0.00640174745862388
1960,20.84,6.57,3.22,13.2257101865136,146.8,0.58,49.61,1.42,6.84,0.0186333445434673
1960,59.43,30.12,8.3,13.2257101865136,142.5,0.73,128.57,0.5,4.7,0.37534780850912
1960,31.32,21.76,5.7,13.2257101865136,170.2,1.43,4.6,1.44,26.07,2.72909569744914
1960,21.61,14.27,5.02,13.2257101865136,198.6,1.13,3.48,0.63,8.24,0.360537026214727
1960,22.32,14.45,6.29,13.2257101865136,271,1.19,4.6,0.28,6.6,0.0219879017678273
1960,4.71,3.03,1.66,13.2257101865136,319.2,1.58,21.02,2.13,9.07,1.58102927521692
1960,1.19,0.74,0.43,13.2257101865136,278.9,1.43,34.23,0.56,8.21,0.134017589017589
1983,25.75,7.35,6.4,3.39,2105.5,0.81,8.1,1.95,10.04,0.51916493140253
1983,28.34,6.82,8.52,2.51,2151.8,0.97,7,1.73,9.32,0.602434973912522
1983,22.99,4.71,7.75,2.52,2399.3,0.97,4.02,0.83,8.61,0.31271473597619
1983,27.88,6.49,13.74,1.26,2179.8,1.12,8.49,1.8,11.54,1.18835079384382
1983,20.42,5.29,13.12,1.06,2963.5,1.17,9.27,1.6,12.22,1.22726413587653
1983,15.24,3.86,9.26,1.05,6434.7,1.17,9.28,1.35,12.01,0.817743480742432
1983,11.15,2.71,7.67,1.25,8383.4,1.24,11.08,1.23,10.02,0.879182157393982
1983,0.7,0.15,0.59,18.29,9771.1,1.33,163.09,1.13,16.44,0.968622606605519
1989,39.61,31.52,31.64,13.2257101865136,1.6,0.09,62.73,1.42,3,117.026066350711
1989,31.06,30.22,60.96,13.2257101865136,1.6,1.58,6.71,9.36,1.47,204.493902439024
1989,7.58,6.9,12.68,13.2257101865136,1.6,1.44,4.73,0.93,6.29,16.3232954545455
1989,8.88,7.93,35.11,13.2257101865136,1.8,1.59,75.42,9.47,7,164.882608695652
1989,3.3,3.17,20.31,13.2257101865136,1.9,1.59,331.62,0.5,4.7,54.2675
1989,4.41,4.29,20.45,13.2257101865136,1.9,1.48,16.03,1.19,12.59,8.01724137931035
1989,1.66,1.62,12.5,13.2257101865136,1.9,1.06,216.48,0.55,4.06,8.66
1989,1.17,1.15,9.09,13.2257101865136,1.9,1.25,23.53,0.48,6.46,7.23846153846154
1989,1.91,1.75,14.29,13.2257101865136,1.1,1.29,17.97,0.51,29.21,6.81724137931035
1982,21.93,6.6,0.96,15.15,155.4,1.27,5.93,1.67,6.46,0.00902805691775866
1959,16.13,10.23,1.45,13.2257101865136,1.9,0.18,20.69,1.01,9.31,0.146602751146311
1959,685.71,5.71,0.99,13.2257101865136,1.9,1.31,6.71,0.88,15.42,0.498808055898068
1959,116.22,8.77,1.18,13.2257101865136,3.3,0.18,14.04,9.47,7.19,0.111354309165527
1959,86.34,12.2,1.76,13.2257101865136,2.3,0.72,3.37,0.69,7.95,0.0955093833780161
1959,25.33,4.41,0.84,13.2257101865136,2.2,0.18,5.62,3.14,4.89,0.094157848324515
1984,0.24,20.74,1.51,40.15,6.8,1.02,6.77,0.39,8.23,3.33494083654375
1984,33.33,2.21,0.49,13.2257101865136,15.7,1.41,3.18,0.38,19.36,0.0238376488376488
1984,32.32,3.35,3.87781922525108,13.2257101865136,676.4,1.29,27.63,0.22,5.3,0.00241826245401726
1985,10.12,0.15,3.87781922525108,1.05,8327.1,1.6,12.16,0.64,11.48,0.0488772599877462
1985,4.78,0.33,0.82,13.2257101865136,1.1,1.09,15.88,2.65,7.18,0.198064250411862
1981,17.66,7.14017216642755,1.48,13.2257101865136,123.3,1.1,25.01,1.83,7.64,0.004648467286869
1981,5.34,3.04,31.64,13.2257101865136,16.6,1.71,92.85,0.88,15.58,0.0332915481413625
1981,21.31,18.33,0.96,13.2257101865136,7.9,1.22,10.74,0.23,4.11,1.19814206190583
1992,4.97,1.87,0.64,13.2257101865136,9.8,1.22,328,2.75,6.2,0.0942161535488858
1992,6.54,2.47,1.02,13.2257101865136,9,0.67,3.48,0.77,8.13,1.44640034487714
1992,5.98,2.37,0.94,13.2257101865136,8.2,1.48,13.36,0.69,3.24,0.127117018361195
1992,0.73,0.3,0.11,13.2257101865136,8.1,1.51,5.62,0.92,6.76,0.483243311141816
1992,6.17,2.09,0.81,13.2257101865136,6.9,1.59,34.23,0.25,6.69,0.0350750366032211
1992,5.19,1.58,0.63,13.2257101865136,10.9,1.98,27.79,0.26,6.32,0.0118358256442889
2006,14.6399713055954,7.14017216642755,3.87781922525108,6.69,172.1,1.74,59.3,0.8,14.89,0.0854717624978673
2006,14.6399713055954,7.14017216642755,3.87781922525108,13.2257101865136,716,1.45,138.42,0.25,3.64,0.0178683506471595
2006,14.6399713055954,7.14017216642755,3.87781922525108,13.2257101865136,2.3,0.79,33.34,0.87,11.28,0.43292690110149
1993,3.3,4.38,1.62,18.03,12.6,1.39,10.87,0.56,3.51,0.821262036376605
1993,20.28,10.65,0.18,13.2257101865136,148,1.22,10.28,0.64,23.79,0.0519373194007139
1993,12.71,6.32,3.44,13.2257101865136,14.4,0.98,13.53,0.7,8.88,2.35873697118332
1985,0.47,0.47,3.03,13.2257101865136,14.6,1.34,12.96,0.1,4.01,0.667206863679695
1976,14.17,3.81,4.69,13.2257101865136,6310.4,1.35,24.07,1.01,7.09,0.467720247475437
1976,10.12,4,3.7,13.2257101865136,7665.2,1.56,9.43,1.28,6.07,0.495404006883711
1976,6.43,2.59,2.33,13.2257101865136,8261.9,1.28,14.04,0.46,5.21,0.694225388562318
2004,30.22,10.96,1.34,13.2257101865136,31.8,0.93,570.23,4.94,10.77,0.240824945449426
2004,9.63,3.22,0.47,13.2257101865136,32.9,1.46,48.77,4.38,9.85,0.227796080066722
1962,34.67,1.61,13.74,13.2257101865136,2523.8,1.59,33.34,0.43,23.78,1.24606595150492
